,Title,Website,Main reference,Github stars,Github forks,Citations,References,Gitlab,Hugging Face
29,3D Pose Correct Keypoints,https://openaccess.thecvf.com/content_iccv_2017/html/Zhou_Towards_3D_Human_ICCV_2017_paper.html,,7100.0,720.0,,"<p><a target=""_blank"" rel=""noopener noreferrer"" href=""https://docs.ragas.io/en/stable/concepts/metrics/answer_relevance.html"">Ragas Documentation: Response Relevancy</a></p>",,
30,Absolute Relative Error (ARE),https://mathworld.wolfram.com/AbsoluteError.html,https://docs.ragas.io/en/stable/concepts/metrics/available_metrics/agents/#topic-adherence,7100.0,720.0,,"<p><a target=""_blank"" rel=""noopener noreferrer"" href=""https://docs.ragas.io/en/stable/concepts/metrics/answer_relevance.html"">Ragas Documentation: Response Relevancy</a></p>",,
31,Average Dice coefficient,https://www.jstor.org/stable/1932409,,,,,,,
32,Peak Signal-to-Noise Ratio (PSNR),https://en.wikipedia.org/wiki/Peak_signal-to-noise_ratio,,7100.0,720.0,,"<p><a target=""_blank"" rel=""noopener noreferrer"" href=""https://docs.ragas.io/en/stable/concepts/metrics/answer_relevance.html"">Ragas Documentation: Response Relevancy</a></p>",,
33,Structural Similarity Index (SSIM),"https://en.wikipedia.org/wiki/Structural_similarity#:~:text=The%20structural%20similarity%20index%20measure,the%20similarity%20between%20two%20images.",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4362034,7100.0,720.0,,"<p><a target=""_blank"" rel=""noopener noreferrer"" href=""https://docs.ragas.io/en/stable/concepts/metrics/answer_relevance.html"">Ragas Documentation: Response Relevancy</a></p>",,
34,Fréchet Inception Distance (FID),https://papers.nips.cc/paper/2017/hash/8a1d694707eb0fefe65871369074926d-Abstract.html,,,,,,,
35,Learned Perceptual Image Patch Similarity (LPIPS),https://github.com/richzhang/PerceptualSimilarity,,,,,,,
36,Multi-Object Tracking Accuracy (MOTA),https://pub.towardsai.net/multi-object-tracking-metrics-1e602f364c0c,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4362034,,,,,,
37,Higher order tracking accuracy (HOTA),https://www.researchgate.net/publication/345343240_HOTA_A_Higher_Order_Metric_for_Evaluating_Multi-object_Tracking,,,,,,,
38,Frames Per Second (FPS),https://towardsdatascience.com/no-gpu-for-your-production-server-a20616bb04bd,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4362034,,,,,,
39,Normalized Scanpath Saliency (NSS),https://arxiv.org/pdf/1604.03605.pdf,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4362034,7100.0,720.0,4.0,"1.	Nikulin, M.S., 2001. Hellinger distance. In Encyclopedia of Mathematics. EMS Press. 	2.	Hellinger, E., 1909. Neue Begründung der Theorie quadratischer Formen von unendlichvielen Veränderlichen. Journal für die reine und angewandte Mathematik, 136, pp.210–271. 	3.	Jeffreys, H., 1946. An invariant form for the prior probability in estimation problems. Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences, 186(1007), pp.453–461. 	4.	Liese, F. and Miescke, K.-J., 2008. Statistical Decision Theory: Estimation, Testing, and Selection. Springer. 	5.	Pardo, L., 2006. Statistical Inference Based on Divergence Measures. Chapman and Hall/CRC.",https://huggingface.co/spaces/NCSOFT/harim_plus,
40,Kullback-Leibler Divergence (KLD),https://en.wikipedia.org/wiki/Kullback%E2%80%93Leibler_divergence,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4362034,,,,,,
41,Cohen's Kappa coefficient,"https://en.wikipedia.org/wiki/Cohen%27s_kappa#:~:text=Cohen's%20kappa%20coefficient%20(%CE%BA%2C%20lowercase,for%20qualitative%20(categorical)%20items.",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4362034,7100.0,720.0,4.0,"1.	Nikulin, M.S., 2001. Hellinger distance. In Encyclopedia of Mathematics. EMS Press. 	2.	Hellinger, E., 1909. Neue Begründung der Theorie quadratischer Formen von unendlichvielen Veränderlichen. Journal für die reine und angewandte Mathematik, 136, pp.210–271. 	3.	Jeffreys, H., 1946. An invariant form for the prior probability in estimation problems. Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences, 186(1007), pp.453–461. 	4.	Liese, F. and Miescke, K.-J., 2008. Statistical Decision Theory: Estimation, Testing, and Selection. Springer. 	5.	Pardo, L., 2006. Statistical Inference Based on Divergence Measures. Chapman and Hall/CRC.",,
42,Dice score,https://en.wikipedia.org/wiki/S%C3%B8rensen%E2%80%93Dice_coefficient,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4362034,,,,,,
43,Hamming distance,https://en.wikipedia.org/wiki/Hamming_distance,,,,,,,
44,Root Mean Squared Error (RMSE),https://en.wikipedia.org/wiki/Root-mean-square_deviation,"Nikulin, M.S., 2001. Hellinger distance. In Encyclopedia of Mathematics. EMS Press.",7100.0,720.0,4.0,"1.	Nikulin, M.S., 2001. Hellinger distance. In Encyclopedia of Mathematics. EMS Press. 	2.	Hellinger, E., 1909. Neue Begründung der Theorie quadratischer Formen von unendlichvielen Veränderlichen. Journal für die reine und angewandte Mathematik, 136, pp.210–271. 	3.	Jeffreys, H., 1946. An invariant form for the prior probability in estimation problems. Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences, 186(1007), pp.453–461. 	4.	Liese, F. and Miescke, K.-J., 2008. Statistical Decision Theory: Estimation, Testing, and Selection. Springer. 	5.	Pardo, L., 2006. Statistical Inference Based on Divergence Measures. Chapman and Hall/CRC.",,
45,Tree Edit Distance (TED),https://www.cic.ipn.mx/~sidorov/sngrams_ted_2015.pdf,"Nikulin, M.S., 2001. Hellinger distance. In Encyclopedia of Mathematics. EMS Press.",7100.0,720.0,4.0,"1.	Nikulin, M.S., 2001. Hellinger distance. In Encyclopedia of Mathematics. EMS Press. 	2.	Hellinger, E., 1909. Neue Begründung der Theorie quadratischer Formen von unendlichvielen Veränderlichen. Journal für die reine und angewandte Mathematik, 136, pp.210–271. 	3.	Jeffreys, H., 1946. An invariant form for the prior probability in estimation problems. Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences, 186(1007), pp.453–461. 	4.	Liese, F. and Miescke, K.-J., 2008. Statistical Decision Theory: Estimation, Testing, and Selection. Springer. 	5.	Pardo, L., 2006. Statistical Inference Based on Divergence Measures. Chapman and Hall/CRC.",,
46,Mean rank,https://en.wikipedia.org/wiki/Knowledge_graph_embedding#Mean_rank_(MR),https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4362034,7100.0,720.0,4.0,,,
47,Mean of Predicted Reciprocal Ranks (MRR),https://en.wikipedia.org/wiki/Knowledge_graph_embedding#Mean_reciprocal_rank_(MRR),,,,,,https://huggingface.co/papers/2302.04166,
48,Normalized Power Spectrum Similarity (NPSS),https://openaccess.thecvf.com/content_CVPR_2019/papers/Gopalakrishnan_A_Neural_Temporal_Model_for_Human_Motion_Prediction_CVPR_2019_paper.pdf,,,,,,,
49,Percentage of correct keypoints (PCK),https://www.v7labs.com/blog/human-pose-estimation-guide,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4362034,7100.0,720.0,4.0,,,
50,Scale-invariant signal-to-distortion ratio improvement (SI-SDRi),https://ieeexplore.ieee.org/abstract/document/8937253,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4362034,7100.0,720.0,4.0,,,
51, Inferred Average Precision (infAP),https://www-nlpir.nist.gov/projects/tv2006/infap/inferredAP.pdf,,,,,,https://huggingface.co/papers/2302.04166,
52,nuScenes Detection Score (NDS),https://openaccess.thecvf.com/content_CVPR_2020/papers/Caesar_nuScenes_A_Multimodal_Dataset_for_Autonomous_Driving_CVPR_2020_paper.pdf,,,,,,,
53,Normalized Mean Error (NME),https://bmvc2019.org/wp-content/uploads/papers/0772-paper.pdf,,,,,,,
54,Rank-Aware Divergence (RADio),https://arxiv.org/abs/2209.13520,"Nikulin, M.S., 2001. Hellinger distance. In Encyclopedia of Mathematics. EMS Press.",,,,"1.	Nikulin, M.S., 2001. Hellinger distance. In Encyclopedia of Mathematics. EMS Press. 	2.	Hellinger, E., 1909. Neue Begründung der Theorie quadratischer Formen von unendlichvielen Veränderlichen. Journal für die reine und angewandte Mathematik, 136, pp.210–271. 	3.	Jeffreys, H., 1946. An invariant form for the prior probability in estimation problems. Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences, 186(1007), pp.453–461. 	4.	Liese, F. and Miescke, K.-J., 2008. Statistical Decision Theory: Estimation, Testing, and Selection. Springer. 	5.	Pardo, L., 2006. Statistical Inference Based on Divergence Measures. Chapman and Hall/CRC.",,
55,Hellinger Distance,https://en.wikipedia.org/wiki/Hellinger_distance,"Nikulin, M.S., 2001. Hellinger distance. In Encyclopedia of Mathematics. EMS Press.",,,,"1.	Nikulin, M.S., 2001. Hellinger distance. In Encyclopedia of Mathematics. EMS Press. 	2.	Hellinger, E., 1909. Neue Begründung der Theorie quadratischer Formen von unendlichvielen Veränderlichen. Journal für die reine und angewandte Mathematik, 136, pp.210–271. 	3.	Jeffreys, H., 1946. An invariant form for the prior probability in estimation problems. Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences, 186(1007), pp.453–461. 	4.	Liese, F. and Miescke, K.-J., 2008. Statistical Decision Theory: Estimation, Testing, and Selection. Springer. 	5.	Pardo, L., 2006. Statistical Inference Based on Divergence Measures. Chapman and Hall/CRC.",,
56,SAFE Artificial Intelligence in finance, https://doi.org/10.1016/j.frl.2023.104088, https://doi.org/10.1016/j.frl.2023.104088,,,,"<p><a target=""_blank"" rel=""noopener noreferrer"" href=""https://doi.org/10.1016/j.frl.2023.104088"">https://doi.org/10.1016/j.frl.2023.104088</a>&nbsp;</p>",,
57,Log odds-ratio,https://docs.ragas.io/en/latest/concepts/metrics/available_metrics/context_precision/,"Levenshtein, V. I. (1966). Binary codes capable of correcting deletions, insertions, and reversals. Soviet Physics Doklady.",7100.0,720.0,4.0,"<p>Ragas Documentation: <a target=""_blank"" rel=""noopener noreferrer"" href=""https://docs.ragas.io/en/latest/concepts/metrics/available_metrics/context_precision/"">Context Precision</a></p>",https://huggingface.co/spaces/NCSOFT/harim_plus,
58,Earth Mover’s Distance,https://en.wikipedia.org/wiki/Earth_mover%27s_distance,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4362034,7100.0,720.0,4.0,,https://huggingface.co/spaces/NCSOFT/harim_plus,
59,Context Precision,https://docs.ragas.io/en/latest/concepts/metrics/available_metrics/context_precision/,"Levenshtein, V. I. (1966). Binary codes capable of correcting deletions, insertions, and reversals. Soviet Physics Doklady.",7100.0,720.0,4.0,"<p>Ragas Documentation: <a target=""_blank"" rel=""noopener noreferrer"" href=""https://docs.ragas.io/en/latest/concepts/metrics/available_metrics/context_precision/"">Context Precision</a></p>",https://huggingface.co/spaces/NCSOFT/harim_plus,
60,Context Recall,https://docs.ragas.io/en/stable/concepts/metrics/available_metrics/context_recall/,https://arxiv.org/abs/2408.08067,7100.0,720.0,3.0,"<p><a target=""_blank"" rel=""noopener noreferrer"" href=""https://docs.ragas.io/en/stable/concepts/metrics/available_metrics/context_recall/"">Context Recall - Ragas Documentation</a></p>",https://huggingface.co/spaces/NCSOFT/harim_plus,
61,Noise Sensitivity,https://github.com/amazon-science/RAGChecker,https://arxiv.org/abs/2408.08067,520.0,40.0,3.0,"<p><a target=""_blank"" rel=""noopener noreferrer"" href=""https://arxiv.org/abs/2408.08067"">RAGChecker: A Fine-grained Framework for Diagnosing Retrieval-Augmented Generation</a></p><p>&nbsp;</p><p><a target=""_blank"" rel=""noopener noreferrer"" href=""https://arxiv.org/abs/2110.07428"">Understanding Model Robustness to User-generated Noisy Texts</a></p>",https://huggingface.co/spaces/NCSOFT/harim_plus,
62,Context Entities Recall,https://docs.ragas.io/en/latest/concepts/metrics/available_metrics/context_entities_recall/,"Levenshtein, V. I. (1966). Binary codes capable of correcting deletions, insertions, and reversals. Soviet Physics Doklady.",7100.0,720.0,4.0,"<p><a target=""_blank"" rel=""noopener noreferrer"" href=""https://docs.ragas.io/en/stable/concepts/metrics/available_metrics/context_entities_recall/"">Ragas Documentation: Context Entities Recall</a></p>",https://huggingface.co/spaces/NCSOFT/harim_plus,
63,Response Relevancy,https://docs.ragas.io/en/stable/concepts/metrics/answer_relevance.html,"Levenshtein, V. I. (1966). Binary codes capable of correcting deletions, insertions, and reversals. Soviet Physics Doklady.",7100.0,720.0,4.0,"<p><a target=""_blank"" rel=""noopener noreferrer"" href=""https://docs.ragas.io/en/stable/concepts/metrics/answer_relevance.html"">Ragas Documentation: Response Relevancy</a></p>",https://huggingface.co/spaces/NCSOFT/harim_plus,
64,Tool call Accuracy,https://docs.ragas.io/en/stable/concepts/metrics/available_metrics/agents/#tool-call-accuracy,https://arxiv.org/abs/1602.04938,7100.0,723.0,18717.0,"<p><a target=""_blank"" rel=""noopener noreferrer"" href=""https://docs.ragas.io/en/stable/concepts/metrics/available_metrics/agents/"">Ragas Documentation: Agentic or Tool Use</a></p>",,
65,Agent Goal Accuracy,https://docs.ragas.io/en/stable/concepts/metrics/available_metrics/agents/,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4362034,7100.0,723.0,4.0,"<p><a target=""_blank"" rel=""noopener noreferrer"" href=""https://docs.ragas.io/en/stable/concepts/metrics/available_metrics/agents/"">Agentic or Tool use - Ragas</a></p>",,
